Týždeň,Dodávateľ,Tlmiče,Brzdové doštičky ,Svetlomety
1,2,100,200,150
2,1,100,200,150
3,2,100,200,150
4,1,100,200,150
5,2,100,200,150
6,1,100,200,150
7,2,100,200,150
8,1,100,200,150
9,2,100,200,150
10,1,100,200,150
11,2,100,200,150
12,1,100,200,150
13,2,100,200,150
14,1,100,200,150
15,2,100,200,150
16,1,100,200,150
17,2,100,200,150
18,1,100,200,150
19,2,100,200,150
20,1,100,200,150
21,2,100,200,150
22,1,100,200,150
23,2,100,200,150
24,1,100,200,150
25,2,100,200,150
26,1,100,200,150
27,2,100,200,150
28,1,100,200,150
29,2,100,200,150
30,1,100,200,150
